iter	Passed	Remaining
893	34382	157913
894	34419	157869
895	34456	157821
896	34493	157777
897	34530	157731
898	34565	157679
899	34606	157651
900	34643	157606
901	34679	157559
902	34716	157511
903	34752	157462
904	34788	157412
905	34824	157365
906	34869	157354
907	34912	157337
908	34953	157307
909	34989	157258
910	35025	157211
911	35061	157162
912	35098	157117
913	35134	157068
914	35174	157035
915	35209	156982
916	35250	156954
917	35287	156912
918	35328	156882
919	35365	156839
920	35402	156791
921	35439	156748
922	35476	156703
923	35518	156679
924	35555	156636
925	35593	156597
926	35630	156550
927	35666	156500
928	35703	156458
929	35743	156425
930	35779	156377
931	35815	156326
932	35850	156274
933	35889	156239
934	35926	156194
935	35964	156152
936	36006	156130
937	36043	156086
938	36086	156065
939	36123	156024
940	36163	155991
941	36199	155944
942	36235	155894
943	36273	155851
944	36311	155811
945	36348	155767
946	36383	155716
947	36420	155671
948	36456	155623
949	36494	155581
950	36530	155533
951	36572	155508
952	36614	155486
953	36656	155463
954	36691	155411
955	36726	155358
956	36762	155309
957	36802	155277
958	36845	155257
959	36882	155213
960	36918	155163
961	36960	155140
962	36996	155093
963	37033	155050
964	37072	155014
965	37116	154997
966	37153	154955
967	37197	154936
968	37239	154916
969	37281	154891
970	37317	154844
971	37355	154802
972	37391	154754
973	37431	154721
974	37467	154673
975	37508	154646
976	37544	154598
977	37582	154555
978	37621	154521
979	37657	154474
980	37693	154426
981	37730	154380
982	37772	154355
983	37811	154320
984	37853	154297
985	37890	154250
986	37930	154219
987	37965	154168
988	38002	154123
989	38043	154094
990	38082	154060
991	38118	154012
992	38155	153968
993	38192	153923
994	38229	153879
995	38267	153837
996	38303	153790
997	38344	153761
998	38386	153737
999	38422	153689
1000	38464	153664
1001	38500	153615
1002	38535	153564
1003	38570	153514
1004	38610	153480
1005	38652	153457
1006	38688	153410
1007	38725	153365
1008	38766	153336
1009	38802	153290
1010	38840	153250
1011	38879	153212
1012	38915	153166
1013	38951	153118
1014	38993	153094
1015	39035	153067
1016	39077	153043
1017	39113	152995
1018	39149	152949
1019	39190	152920
1020	39227	152875
1021	39265	152834
1022	39301	152789
1023	39337	152741
1024	39384	152733
1025	39420	152687
1026	39457	152643
1027	39497	152609
1028	39538	152580
1029	39574	152534
1030	39610	152488
1031	39649	152452
1032	39685	152403
1033	39721	152355
1034	39757	152306
1035	39798	152280
1036	39834	152232
1037	39869	152180
1038	39904	152130
1039	39946	152104
1040	39988	152079
1041	40028	152046
1042	40064	151998
1043	40101	151954
1044	40137	151907
1045	40175	151867
1046	40212	151824
1047	40255	151801
1048	40293	151763
1049	40330	151717
1050	40368	151678
1051	40404	151632
1052	40443	151597
1053	40481	151554
1054	40520	151520
1055	40560	151485
1056	40596	151439
1057	40633	151397
1058	40676	151375
1059	40712	151327
1060	40755	151306
1061	40792	151262
1062	40838	151251
1063	40880	151228
1064	40918	151187
1065	40958	151154
1066	40995	151110
1067	41039	151093
1068	41079	151062
1069	41121	151035
1070	41162	151004
1071	41199	150961
1072	41238	150926
1073	41280	150901
1074	41318	150860
1075	41354	150814
1076	41392	150775
1077	41437	150757
1078	41474	150714
1079	41519	150699
1080	41555	150652
1081	41597	150627
1082	41634	150584
1083	41678	150565
1084	41723	150550
1085	41761	150511
1086	41807	150499
1087	41848	150470
1088	41884	150421
1089	41921	150377
1090	41960	150343
1091	42003	150319
1092	42039	150273
1093	42075	150227
1094	42112	150181
1095	42155	150158
1096	42192	150117
1097	42230	150074
1098	42270	150043
1099	42310	150009
1100	42351	149979
1101	42392	149949
1102	42429	149908
1103	42472	149886
1104	42509	149840
1105	42545	149794
1106	42581	149747
1107	42623	149721
1108	42660	149677
1109	42696	149630
1110	42737	149599
1111	42774	149555
1112	42810	149508
1113	42846	149463
1114	42883	149419
1115	42919	149372
1116	42956	149327
1117	42992	149280
1118	43031	149244
1119	43071	149211
1120	43110	149173
1121	43150	149142
1122	43187	149098
1123	43223	149053
1124	43263	149019
1125	43300	148974
1126	43342	148947
1127	43378	148903
1128	43420	148876
1129	43462	148849
1130	43498	148803
1131	43535	148759
1132	43574	148723
1133	43613	148685
1134	43650	148644
1135	43693	148621
1136	43731	148580
1137	43775	148559
1138	43817	148532
1139	43855	148491
1140	43895	148458
1141	43939	148439
1142	43975	148392
1143	44012	148348
1144	44049	148306
1145	44086	148264
1146	44124	148222
1147	44167	148198
1148	44206	148162
1149	44247	148133
1150	44286	148095
1151	44322	148048
1152	44364	148024
1153	44405	147991
1154	44441	147946
1155	44481	147913
1156	44523	147886
1157	44561	147844
1158	44598	147801
1159	44634	147754
1160	44672	147715
1161	44710	147675
1162	44747	147632
1163	44789	147605
1164	44830	147574
1165	44868	147536
1166	44910	147508
1167	44952	147482
1168	44990	147442
1169	45027	147397
1170	45069	147371
1171	45110	147341
1172	45148	147300
1173	45186	147258
1174	45222	147213
1175	45264	147186
1176	45300	147140
1177	45339	147103
1178	45381	147076
1179	45422	147046
1180	45462	147013
1181	45499	146969
1182	45541	146940
1183	45583	146915
1184	45624	146883
1185	45668	146864
1186	45704	146817
1187	45741	146773
1188	45783	146746
1189	45820	146702
1190	45864	146681
1191	45906	146653
1192	45945	146618
1193	45983	146576
1194	46018	146529
1195	46055	146484
1196	46097	146456
1197	46140	146433
1198	46183	146407
1199	46220	146365
1200	46259	146329
1201	46302	146303
1202	46340	146263
1203	46377	146218
1204	46413	146174
1205	46450	146131
1206	46494	146110
1207	46535	146078
1208	46575	146044
1209	46613	146003
1210	46654	145973
1211	46690	145927
1212	46732	145897
1213	46776	145876
1214	46812	145831
1215	46850	145790
1216	46893	145766
1217	46936	145742
1218	46979	145717
1219	47020	145686
1220	47061	145654
1221	47104	145631
1222	47144	145598
1223	47187	145570
1224	47225	145531
1225	47267	145504
1226	47308	145474
1227	47351	145449
1228	47389	145407
1229	47434	145390
1230	47477	145363
1231	47513	145318
1232	47553	145283
1233	47589	145238
1234	47629	145203
1235	47666	145159
1236	47709	145133
1237	47753	145111
1238	47797	145088
1239	47840	145063
1240	47876	145018
1241	47913	144975
1242	47949	144928
1243	47986	144885
1244	48023	144841
1245	48067	144818
1246	48104	144777
1247	48144	144742
1248	48188	144719
1249	48225	144675
1250	48262	144634
1251	48300	144593
1252	48336	144547
1253	48373	144502
1254	48411	144462
1255	48455	144439
1256	48491	144395
1257	48528	144351
1258	48567	144313
1259	48611	144292
1260	48652	144260
1261	48696	144238
1262	48733	144194
1263	48776	144167
1264	48812	144122
1265	48854	144093
1266	48895	144062
1267	48938	144035
1268	48975	143993
1269	49012	143949
1270	49049	143905
1271	49085	143859
1272	49127	143830
1273	49171	143810
1274	49215	143785
1275	49252	143741
1276	49295	143715
1277	49331	143672
1278	49373	143642
1279	49416	143618
1280	49460	143594
1281	49498	143552
1282	49535	143511
1283	49577	143479
1284	49618	143448
1285	49654	143404
1286	49694	143370
1287	49732	143328
1288	49774	143299
1289	49815	143266
1290	49849	143216
1291	49890	143183
1292	49932	143155
1293	49968	143110
1294	50006	143067
1295	50048	143039
1296	50090	143010
1297	50126	142964
1298	50169	142939
1299	50206	142895
1300	50253	142880
1301	50290	142838
1302	50328	142795
1303	50370	142768
1304	50409	142729
1305	50447	142688
1306	50484	142645
1307	50524	142611
1308	50562	142570
1309	50605	142545
1310	50642	142503
1311	50685	142476
1312	50726	142443
1313	50769	142416
1314	50805	142371
1315	50842	142328
1316	50879	142284
1317	50917	142243
1318	50954	142199
1319	50996	142171
1320	51034	142131
1321	51070	142086
1322	51108	142044
1323	51149	142014
1324	51191	141983
1325	51227	141936
1326	51263	141891
1327	51306	141866
1328	51347	141833
1329	51383	141786
1330	51424	141755
1331	51460	141710
1332	51501	141678
1333	51539	141637
1334	51581	141607
1335	51621	141572
1336	51658	141529
1337	51694	141485
1338	51731	141440
1339	51768	141396
1340	51805	141353
1341	51848	141326
1342	51892	141302
1343	51929	141259
1344	51976	141245
1345	52021	141224
1346	52058	141181
1347	52095	141136
1348	52132	141095
1349	52175	141066
1350	52212	141024
1351	52248	140979
1352	52284	140933
1353	52322	140890
1354	52363	140859
1355	52406	140832
1356	52449	140806
1357	52486	140761
1358	52522	140717
1359	52559	140673
1360	52596	140631
1361	52638	140602
1362	52676	140560
1363	52713	140517
1364	52757	140492
1365	52793	140448
1366	52835	140418
1367	52880	140395
1368	52916	140351
1369	52954	140308
1370	52991	140268
1371	53028	140223
1372	53071	140195
1373	53114	140170
1374	53153	140131
1375	53197	140108
1376	53235	140067
1377	53276	140035
1378	53313	139991
1379	53358	139968
1380	53394	139922
1381	53431	139880
1382	53469	139839
1383	53506	139796
1384	53548	139768
1385	53595	139751
1386	53633	139710
1387	53673	139674
1388	53716	139646
1389	53754	139608
1390	53797	139578
1391	53833	139535
1392	53875	139504
1393	53917	139473
1394	53960	139446
1395	53997	139402
1396	54038	139371
1397	54079	139338
1398	54122	139309
1399	54158	139264
1400	54196	139223
1401	54238	139195
1402	54281	139165
1403	54318	139122
1404	54355	139079
1405	54392	139038
1406	54430	138995
1407	54468	138956
1408	54508	138921
1409	54544	138876
1410	54587	138848
1411	54624	138804
1412	54661	138762
1413	54703	138732
1414	54744	138698
1415	54780	138653
1416	54817	138610
1417	54853	138564
1418	54890	138523
1419	54927	138479
1420	54968	138446
1421	55004	138401
1422	55043	138363
1423	55086	138334
1424	55129	138307
1425	55171	138277
1426	55213	138247
1427	55257	138220
1428	55296	138184
1429	55333	138141
1430	55370	138097
1431	55415	138073
1432	55456	138040
1433	55494	138000
1434	55532	137960
1435	55575	137933
1436	55617	137901
1437	55654	137859
1438	55698	137832
1439	55740	137801
1440	55776	137756
1441	55812	137713
1442	55853	137679
1443	55893	137643
1444	55932	137606
1445	55969	137562
1446	56007	137521
1447	56043	137477
1448	56081	137435
1449	56118	137393
1450	56155	137351
1451	56192	137308
1452	56238	137285
1453	56274	137241
1454	56315	137207
1455	56353	137169
1456	56390	137124
1457	56428	137084
1458	56465	137043
1459	56502	136999
1460	56540	136958
1461	56577	136914
1462	56614	136872
1463	56654	136836
1464	56691	136795
1465	56729	136753
1466	56769	136718
1467	56807	136677
1468	56849	136648
1469	56892	136620
1470	56934	136589
1471	56971	136546
1472	57012	136512
1473	57055	136483
1474	57098	136454
1475	57134	136410
1476	57170	136365
1477	57213	136336
1478	57249	136290
1479	57286	136249
1480	57331	136225
1481	57373	136193
1482	57412	136156
1483	57455	136126
1484	57496	136094
1485	57540	136068
1486	57583	136038
1487	57625	136008
1488	57667	135977
1489	57710	135949
1490	57748	135907
1491	57785	135865
1492	57830	135841
1493	57870	135805
1494	57911	135772
1495	57953	135742
1496	57990	135699
1497	58027	135656
1498	58069	135624
1499	58113	135597
1500	58154	135564
1501	58193	135526
1502	58233	135491
1503	58277	135465
1504	58315	135422
1505	58356	135389
1506	58397	135355
1507	58433	135311
1508	58469	135266
1509	58508	135228
1510	58552	135201
1511	58595	135171
1512	58631	135128
1513	58668	135085
1514	58712	135057
1515	58749	135015
1516	58787	134974
1517	58824	134932
1518	58865	134898
1519	58906	134865
1520	58950	134838
1521	58987	134795
1522	59023	134750
1523	59067	134723
1524	59110	134694
1525	59154	134668
1526	59196	134635
1527	59233	134592
1528	59270	134550
1529	59310	134514
1530	59352	134483
1531	59394	134452
1532	59430	134407
1533	59468	134366
1534	59505	134324
1535	59546	134289
1536	59584	134249
1537	59621	134207
1538	59663	134175
1539	59705	134143
1540	59748	134114
1541	59784	134068
1542	59820	134025
1543	59863	133994
1544	59905	133963
1545	59941	133919
1546	59983	133886
1547	60019	133840
1548	60055	133796
1549	60096	133763
1550	60137	133729
1551	60174	133686
1552	60214	133649
1553	60251	133607
1554	60287	133562
1555	60329	133530
1556	60364	133485
1557	60400	133439
1558	60446	133417
1559	60483	133373
1560	60525	133343
1561	60562	133299
1562	60597	133253
1563	60634	133209
1564	60676	133177
1565	60720	133151
1566	60757	133109
1567	60799	133077
1568	60836	133033
1569	60876	132998
1570	60919	132967
1571	60957	132927
1572	61001	132901
1573	61048	132878
1574	61091	132850
1575	61127	132805
1576	61168	132771
1577	61210	132739
1578	61251	132705
1579	61288	132662
1580	61331	132632
1581	61367	132587
1582	61403	132542
1583	61438	132497
1584	61478	132460
1585	61515	132417
1586	61559	132390
1587	61596	132348
1588	61638	132315
1589	61681	132285
1590	61723	132254
1591	61761	132212
1592	61798	132170
1593	61842	132143
1594	61879	132100
1595	61916	132056
1596	61952	132013
1597	61996	131984
1598	62033	131941
1599	62068	131896
1600	62106	131854
1601	62150	131826
1602	62188	131787
1603	62227	131748
1604	62271	131720
1605	62313	131688
1606	62349	131644
1607	62390	131608
1608	62426	131564
1609	62468	131532
1610	62511	131502
1611	62551	131466
1612	62588	131423
1613	62632	131395
1614	62675	131367
1615	62713	131326
1616	62757	131297
1617	62801	131269
1618	62836	131223
1619	62877	131188
1620	62919	131157
1621	62956	131113
1622	63003	131092
1623	63047	131064
1624	63089	131032
1625	63129	130996
1626	63171	130962
1627	63215	130935
1628	63252	130892
1629	63293	130857
1630	63330	130815
1631	63372	130782
1632	63416	130755
1633	63457	130720
1634	63493	130675
1635	63529	130630
1636	63571	130600
1637	63608	130557
1638	63645	130513
1639	63682	130470
1640	63722	130434
1641	63765	130405
1642	63805	130368
1643	63841	130324
1644	63877	130279
1645	63915	130238
1646	63958	130207
1647	63994	130162
1648	64036	130131
1649	64072	130086
1650	64113	130052
1651	64154	130017
1652	64191	129974
1653	64234	129943
1654	64269	129898
1655	64311	129866
1656	64354	129835
1657	64392	129793
1658	64428	129750
1659	64472	129722
1660	64509	129678
1661	64546	129635
1662	64587	129601
1663	64623	129557
1664	64665	129524
1665	64701	129480
1666	64743	129447
1667	64780	129405
