iter	Passed	Remaining
718	10504	4105
719	10522	4092
720	10538	4077
721	10553	4063
722	10568	4049
723	10584	4034
724	10598	4020
725	10614	4005
726	10631	3992
727	10645	3977
728	10661	3963
729	10676	3948
730	10691	3934
731	10707	3920
732	10723	3905
733	10739	3891
734	10753	3877
735	10767	3862
736	10783	3848
737	10799	3833
738	10816	3819
739	10831	3805
740	10846	3791
741	10861	3776
742	10876	3762
743	10892	3747
744	10907	3733
745	10922	3718
746	10937	3704
747	10953	3690
748	10970	3676
749	10987	3662
750	11003	3648
751	11020	3634
752	11035	3619
753	11052	3605
754	11067	3591
755	11081	3576
756	11096	3562
757	11112	3547
758	11127	3533
759	11141	3518
760	11154	3503
761	11169	3488
762	11183	3473
763	11198	3459
764	11212	3444
765	11340	3464
766	11358	3450
767	11374	3436
768	11392	3422
769	11410	3408
770	11427	3394
771	11443	3379
772	11459	3365
773	11475	3350
774	11492	3336
775	11508	3322
776	11525	3307
777	11541	3293
778	11556	3278
779	11572	3264
780	11589	3249
781	11603	3234
782	11619	3220
783	11635	3205
784	11653	3191
785	11671	3177
786	11687	3163
787	11701	3148
788	11716	3133
789	11731	3118
790	11748	3104
791	11764	3089
792	11781	3075
793	11797	3060
794	11812	3045
795	11827	3031
796	11843	3016
797	11860	3002
798	11876	2987
799	11891	2972
800	11911	2959
801	11927	2944
802	11942	2929
803	11959	2915
804	11974	2900
805	11991	2886
806	12007	2871
807	12024	2857
808	12039	2842
809	12053	2827
810	12069	2812
811	12085	2798
812	12102	2783
813	12117	2768
814	12133	2754
815	12151	2739
816	12166	2725
817	12181	2710
818	12196	2695
819	12211	2680
820	12228	2666
821	12243	2651
822	12260	2636
823	12278	2622
824	12293	2607
825	12309	2592
826	12325	2578
827	12341	2563
828	12356	2548
829	12373	2534
830	12389	2519
831	12405	2504
832	12420	2490
833	12435	2475
834	12451	2460
835	12467	2445
836	12483	2431
837	12499	2416
838	12514	2401
839	12530	2386
840	12547	2372
841	12563	2357
842	12579	2342
843	12594	2327
844	12609	2313
845	12624	2298
846	12640	2283
847	12656	2268
848	12671	2253
849	12688	2239
850	12703	2224
851	12718	2209
852	12734	2194
853	12749	2179
854	12764	2164
855	12781	2150
856	12796	2135
857	12811	2120
858	12827	2105
859	12844	2090
860	12860	2076
861	12875	2061
862	12892	2046
863	12908	2031
864	12924	2017
865	12941	2002
866	12956	1987
867	12973	1972
868	12988	1957
869	13005	1943
870	13022	1928
871	13038	1913
872	13054	1899
873	13068	1884
874	13083	1869
875	13101	1854
876	13116	1839
877	13131	1824
878	13146	1809
879	13160	1794
880	13174	1779
881	13187	1764
882	13201	1749
883	13218	1734
884	13231	1719
885	13244	1704
886	13259	1689
887	13272	1673
888	13286	1658
889	13301	1643
890	13315	1628
891	13507	1635
892	13524	1620
893	13542	1605
894	13556	1590
895	13572	1575
896	13587	1560
897	13602	1545
898	13619	1530
899	13636	1515
900	13655	1500
901	13671	1485
